         x         y         z          analitic          solution          pogreshn
    -812.5       460     -1000                 0                 0                 0
      -475       460     -1000                 0                 0                 0
      -250       460     -1000                 0                 0                 0
      -100       460     -1000                 0                 0                 0
         0       460     -1000                 0                 0                 0
        25       460     -1000                 0                 0                 0
      52.5       460     -1000                 0                 0                 0
     82.75       460     -1000                 0                 0                 0
   116.025       460     -1000                 0                 0                 0
   152.627       460     -1000                 0                 0                 0
    192.89       460     -1000                 0                 0                 0
   237.179       460     -1000                 0                 0                 0
   285.897       460     -1000                 0                 0                 0
   339.487       460     -1000                 0                 0                 0
       400       460     -1000                 0                 0                 0
       420       460     -1000                 0                 0                 0
       440       460     -1000                 0                 0                 0
       460       460     -1000                 0                 0                 0
       480       460     -1000                 0                 0                 0
       500       460     -1000                 0                 0                 0
       525       460     -1000                 0                 0                 0
     562.5       460     -1000                 0                 0                 0
    618.75       460     -1000                 0                 0                 0
   703.125       460     -1000                 0                 0                 0
   829.688       460     -1000                 0                 0                 0
      1000       460     -1000                 0                 0                 0
     -1000       480     -1000                 0                 0                 0
    -812.5       480     -1000                 0                 0                 0
      -475       480     -1000                 0                 0                 0
      -250       480     -1000                 0                 0                 0
      -100       480     -1000                 0                 0                 0
         0       480     -1000                 0                 0                 0
        25       480     -1000                 0                 0                 0
      52.5       480     -1000                 0                 0                 0
     82.75       480     -1000                 0                 0                 0
   116.025       480     -1000                 0                 0                 0
