14364 14364
310 -610.51 -836.8
431 -610.51 -836.8
450 -610.51 -836.8
564.1 -610.51 -836.8
710.51 -610.51 -836.8
871.561 -610.51 -836.8
1048.72 -610.51 -836.8
1243.59 -610.51 -836.8
1457.95 -610.51 -836.8
1693.74 -610.51 -836.8
1953.12 -610.51 -836.8
2238.43 -610.51 -836.8
2552.27 -610.51 -836.8
2897.5 -610.51 -836.8
3277.25 -610.51 -836.8
3694.97 -610.51 -836.8
4000 -610.51 -836.8
-1000 -464.1 -836.8
-848.717 -464.1 -836.8
-671.561 -464.1 -836.8
-510.51 -464.1 -836.8
-450 -464.1 -836.8
-364.1 -464.1 -836.8
-231 -464.1 -836.8
-110 -464.1 -836.8
0 -464.1 -836.8
100 -464.1 -836.8
200 -464.1 -836.8
310 -464.1 -836.8
431 -464.1 -836.8
450 -464.1 -836.8
564.1 -464.1 -836.8
710.51 -464.1 -836.8
871.561 -464.1 -836.8
1048.72 -464.1 -836.8
1243.59 -464.1 -836.8
1457.95 -464.1 -836.8
1693.74 -464.1 -836.8
1953.12 -464.1 -836.8
2238.43 -464.1 -836.8
2552.27 -464.1 -836.8
2897.5 -464.1 -836.8
3277.25 -464.1 -836.8
3694.97 -464.1 -836.8
4000 -464.1 -836.8
-1000 -400 -836.8
-848.717 -400 -836.8
-671.561 -400 -836.8
-510.51 -400 -836.8
-450 -400 -836.8
-364.1 -400 -836.8
-231 -400 -836.8
-110 -400 -836.8
0 -400 -836.8
100 -400 -836.8
200 -400 -836.8
310 -400 -836.8
431 -400 -836.8
450 -400 -836.8
564.1 -400 -836.8
710.51 -400 -836.8
871.561 -400 -836.8
1048.72 -400 -836.8
1243.59 -400 -836.8
1457.95 -400 -836.8
1693.74 -400 -836.8
1953.12 -400 -836.8
2238.43 -400 -836.8
2552.27 -400 -836.8
2897.5 -400 -836.8
3277.25 -400 -836.8
3694.97 -400 -836.8
4000 -400 -836.8
-1000 -331 -836.8
-848.717 -331 -836.8
-671.561 -331 -836.8
-510.51 -331 -836.8
-450 -331 -836.8
-364.1 -331 -836.8
-231 -331 -836.8
-110 -331 -836.8
0 -331 -836.8
100 -331 -836.8
200 -331 -836.8
310 -331 -836.8
431 -331 -836.8
450 -331 -836.8
564.1 -331 -836.8
710.51 -331 -836.8
871.561 -331 -836.8
1048.72 -331 -836.8
1243.59 -331 -836.8
1457.95 -331 -836.8
1693.74 -331 -836.8
1953.12 -331 -836.8
2238.43 -331 -836.8
2552.27 -331 -836.8
2897.5 -331 -836.8
3277.25 -331 -836.8
3694.97 -331 -836.8
4000 -331 -836.8
-1000 -210 -836.8
-848.717 -210 -836.8
-671.561 -210 -836.8
-510.51 -210 -836.8
-450 -210 -836.8
-364.1 -210 -836.8
-231 -210 -836.8
-110 -210 -836.8
0 -210 -836.8
100 -210 -836.8
200 -210 -836.8
310 -210 -836.8
431 -210 -836.8
450 -210 -836.8
564.1 -210 -836.8
710.51 -210 -836.8
871.561 -210 -836.8
1048.72 -210 -836.8
1243.59 -210 -836.8
1457.95 -210 -836.8
1693.74 -210 -836.8
1953.12 -210 -836.8
2238.43 -210 -836.8
2552.27 -210 -836.8
2897.5 -210 -836.8
3277.25 -210 -836.8
3694.97 -210 -836.8
4000 -210 -836.8
-1000 -100 -836.8
-848.717 -100 -836.8
-671.561 -100 -836.8
-510.51 -100 -836.8
-450 -100 -836.8
-364.1 -100 -836.8
-231 -100 -836.8
-110 -100 -836.8
0 -100 -836.8
100 -100 -836.8
200 -100 -836.8
310 -100 -836.8
431 -100 -836.8
450 -100 -836.8
564.1 -100 -836.8
710.51 -100 -836.8
871.561 -100 -836.8
1048.72 -100 -836.8
1243.59 -100 -836.8
1457.95 -100 -836.8
1693.74 -100 -836.8
1953.12 -100 -836.8
2238.43 -100 -836.8
2552.27 -100 -836.8
2897.5 -100 -836.8
3277.25 -100 -836.8
