SourceType=1, point({ r = 0; z = 0},i=1716, power=1
Added power 0.159155
         r         z   correctSolution                 q              diff
   1.85312  -32.8718                 0         0.0336431         0.0336431
   2.13843  -32.8718                 0         0.0336183         0.0336183
   2.45227  -32.8718                 0         0.0335869         0.0335869
    2.7975  -32.8718                 0         0.0335475         0.0335475
   3.17725  -32.8718                 0         0.0334983         0.0334983
   3.59497  -32.8718                 0         0.0334372         0.0334372
   4.05447  -32.8718                 0         0.0333615         0.0333615
   4.55992  -32.8718                 0         0.0332683         0.0332683
         5  -32.8718                 0         0.0331788         0.0331788
         7  -32.8718                 0         0.0326738         0.0326738
       9.2  -32.8718                 0         0.0319544         0.0319544
     11.62  -32.8718                 0         0.0309919         0.0309919
    14.282  -32.8718                 0         0.0297663         0.0297663
   17.2102  -32.8718                 0         0.0282706         0.0282706
   20.4312  -32.8718                 0         0.0265144         0.0265144
   23.9743  -32.8718                 0         0.0245251         0.0245251
   27.8718  -32.8718                 0         0.0223462         0.0223462
    32.159  -32.8718                 0         0.0200326         0.0200326
   36.8748  -32.8718                 0         0.0176441         0.0176441
   42.0623  -32.8718                 0         0.0152384         0.0152384
   47.7686  -32.8718                 0         0.0128657         0.0128657
   54.0454  -32.8718                 0         0.0105651         0.0105651
     60.95  -32.8718                 0        0.00836309        0.00836309
    68.545  -32.8718                 0        0.00627304        0.00627304
   76.8995  -32.8718                 0        0.00429588        0.00429588
   86.0894  -32.8718                 0        0.00242032        0.00242032
   96.1983  -32.8718                 0       0.000622624       0.000622624
       100  -32.8718                 0                 0                 0
         0  -28.9743                 0         0.0401875         0.0401875
       0.1  -28.9743                 0          0.040187          0.040187
      0.21  -28.9743                 0         0.0401859         0.0401859
     0.331  -28.9743                 0         0.0401838         0.0401838
    0.4641  -28.9743                 0         0.0401804         0.0401804
   0.61051  -28.9743                 0         0.0401753         0.0401753
  0.771561  -28.9743                 0         0.0401682         0.0401682
  0.948717  -28.9743                 0         0.0401584         0.0401584
   1.14359  -28.9743                 0         0.0401454         0.0401454
   1.35795  -28.9743                 0         0.0401282         0.0401282
   1.59374  -28.9743                 0          0.040106          0.040106
   1.85312  -28.9743                 0         0.0400775         0.0400775
   2.13843  -28.9743                 0         0.0400413         0.0400413
   2.45227  -28.9743                 0         0.0399956         0.0399956
    2.7975  -28.9743                 0         0.0399382         0.0399382
   3.17725  -28.9743                 0         0.0398667         0.0398667
   3.59497  -28.9743                 0         0.0397779         0.0397779
   4.05447  -28.9743                 0         0.0396682         0.0396682
   4.55992  -28.9743                 0         0.0395331         0.0395331
         5  -28.9743                 0         0.0394037         0.0394037
         7  -28.9743                 0         0.0386768         0.0386768
       9.2  -28.9743                 0          0.037652          0.037652
     11.62  -28.9743                 0         0.0362996         0.0362996
    14.282  -28.9743                 0          0.034607          0.034607
   17.2102  -28.9743                 0         0.0325838         0.0325838
   20.4312  -28.9743                 0         0.0302644         0.0302644
   23.9743  -28.9743                 0         0.0277048         0.0277048
   27.8718  -28.9743                 0         0.0249769         0.0249769
    32.159  -28.9743                 0         0.0221587         0.0221587
   36.8748  -28.9743                 0          0.019325          0.019325
   42.0623  -28.9743                 0           0.01654           0.01654
   47.7686  -28.9743                 0          0.013853          0.013853
   54.0454  -28.9743                 0         0.0112976         0.0112976
     60.95  -28.9743                 0        0.00889143        0.00889143
    68.545  -28.9743                 0        0.00663846        0.00663846
   76.8995  -28.9743                 0        0.00453012        0.00453012
   86.0894  -28.9743                 0        0.00254618        0.00254618
   96.1983  -28.9743                 0       0.000654225       0.000654225
       100  -28.9743                 0                 0                 0
         0  -25.4312                 0         0.0477888         0.0477888
       0.1  -25.4312                 0         0.0477882         0.0477882
      0.21  -25.4312                 0         0.0477865         0.0477865
     0.331  -25.4312                 0         0.0477834         0.0477834
    0.4641  -25.4312                 0         0.0477783         0.0477783
   0.61051  -25.4312                 0         0.0477708         0.0477708
  0.771561  -25.4312                 0         0.0477603         0.0477603
  0.948717  -25.4312                 0         0.0477459         0.0477459
   1.14359  -25.4312                 0         0.0477266         0.0477266
   1.35795  -25.4312                 0         0.0477014         0.0477014
   1.59374  -25.4312                 0         0.0476686         0.0476686
   1.85312  -25.4312                 0         0.0476266         0.0476266
   2.13843  -25.4312                 0         0.0475732         0.0475732
   2.45227  -25.4312                 0         0.0475059         0.0475059
    2.7975  -25.4312                 0         0.0474215         0.0474215
   3.17725  -25.4312                 0         0.0473164         0.0473164
   3.59497  -25.4312                 0          0.047186          0.047186
   4.05447  -25.4312                 0         0.0470252         0.0470252
   4.55992  -25.4312                 0         0.0468276         0.0468276
         5  -25.4312                 0         0.0466386         0.0466386
         7  -25.4312                 0         0.0455846         0.0455846
       9.2  -25.4312                 0         0.0441179         0.0441179
     11.62  -25.4312                 0         0.0422157         0.0422157
    14.282  -25.4312                 0         0.0398857         0.0398857
   17.2102  -25.4312                 0         0.0371702         0.0371702
   20.4312  -25.4312                 0          0.034143          0.034143
   23.9743  -25.4312                 0         0.0309001         0.0309001
   27.8718  -25.4312                 0         0.0275457         0.0275457
    32.159  -25.4312                 0         0.0241785         0.0241785
   36.8748  -25.4312                 0         0.0208818         0.0208818
   42.0623  -25.4312                 0         0.0177185         0.0177185
   47.7686  -25.4312                 0         0.0147297         0.0147297
   54.0454  -25.4312                 0         0.0119372         0.0119372
     60.95  -25.4312                 0        0.00934655        0.00934655
    68.545  -25.4312                 0        0.00694983        0.00694983
   76.8995  -25.4312                 0        0.00472809        0.00472809
   86.0894  -25.4312                 0        0.00265195        0.00265195
   96.1983  -25.4312                 0       0.000680712       0.000680712
       100  -25.4312                 0                 0                 0
         0  -22.2102                 0         0.0568025         0.0568025
       0.1  -22.2102                 0         0.0568016         0.0568016
      0.21  -22.2102                 0         0.0567991         0.0567991
     0.331  -22.2102                 0         0.0567944         0.0567944
    0.4641  -22.2102                 0         0.0567868         0.0567868
   0.61051  -22.2102                 0         0.0567756         0.0567756
  0.771561  -22.2102                 0         0.0567598         0.0567598
  0.948717  -22.2102                 0         0.0567383         0.0567383
   1.14359  -22.2102                 0         0.0567095         0.0567095
   1.35795  -22.2102                 0         0.0566716         0.0566716
   1.59374  -22.2102                 0         0.0566226         0.0566226
   1.85312  -22.2102                 0         0.0565598         0.0565598
   2.13843  -22.2102                 0         0.0564801         0.0564801
   2.45227  -22.2102                 0         0.0563797         0.0563797
    2.7975  -22.2102                 0         0.0562539         0.0562539
   3.17725  -22.2102                 0         0.0560973         0.0560973
   3.59497  -22.2102                 0         0.0559036         0.0559036
   4.05447  -22.2102                 0          0.055665          0.055665
   4.55992  -22.2102                 0         0.0553726         0.0553726
         5  -22.2102                 0         0.0550936         0.0550936
         7  -22.2102                 0         0.0535521         0.0535521
       9.2  -22.2102                 0         0.0514433         0.0514433
     11.62  -22.2102                 0          0.048768          0.048768
    14.282  -22.2102                 0         0.0455773         0.0455773
   17.2102  -22.2102                 0         0.0419695         0.0419695
   20.4312  -22.2102                 0         0.0380759         0.0380759
   23.9743  -22.2102                 0         0.0340395         0.0340395
   27.8718  -22.2102                 0         0.0299945         0.0299945
    32.159  -22.2102                 0         0.0260513         0.0260513
   36.8748  -22.2102                 0         0.0222904         0.0222904
   42.0623  -22.2102                 0         0.0187623         0.0187623
   47.7686  -22.2102                 0         0.0154923         0.0154923
   54.0454  -22.2102                 0         0.0124855         0.0124855
